PURITY
+-----------+----+----------------+--------------------+--------------------+--------------------+--------------------+
|  Method   | k  |    dataset     |        lda         |      skipgram      |       tfidf        |     consensus      |
| NCFwR#30  | 12 | 20Newsgroup:12 | 1.0334630350194554 | 1.0858544562551107 |        1.0         | 1.0350740452065472 |
| NCFwR#30  | 12 |  BBCSport:12   | 1.358267716535433  | 1.042296072507553  |        1.0         | 1.0222222222222224 |
| NCFwR#30  | 12 | Reuters-R8:12  | 1.026154702281581  | 1.161940768746062  |        1.0         | 1.0471323111868258 |
| NCFwR#30  | 12 |    WebKB:12    | 1.0166136443973137 | 1.0927051671732524 | 1.056576047024247  |        1.0         |
| NCFwR#30  | 24 | 20Newsgroup:24 |        1.0         |  1.03201581027668  | 1.1793134598012647 | 1.0135869565217392 |
| NCFwR#30  | 24 |  BBCSport:24   | 1.297348484848485  | 1.0118168389955688 | 1.0014619883040936 |        1.0         |
| NCFwR#30  | 24 | Reuters-R8:24  | 1.0506329113924051 | 1.1315945465323056 |        1.0         | 1.0483250961010435 |
| NCFwR#30  | 24 |    WebKB:24    |        1.0         | 1.1064996084573215 | 1.0355441553682665 | 1.0239130434782604 |
| NCFwR#30  | 48 | 20Newsgroup:48 |        1.0         | 1.0653724247226626 | 1.0370227535672971 | 1.0014897579143385 |
| NCFwR#30  | 48 |  BBCSport:48   | 1.2587155963302756 | 1.0117994100294987 |        1.0         | 1.0043923865300146 |
| NCFwR#30  | 48 | Reuters-R8:48  | 1.0306781485468244 | 1.090546697038724  |        1.0         | 1.0169941582580986 |
| NCFwR#30  | 48 |    WebKB:48    |        1.0         | 1.0736565201052237 | 1.0519145802650955 | 1.016002844950214  |
| NCFwR#60  | 3  | 20Newsgroup:3  | 1.0544354838709682 | 1.3061938061938063 |        1.0         | 1.0873180873180874 |
| NCFwR#60  | 3  |   BBCSport:3   | 1.1451247165532878 |        1.0         | 1.0455486542443064 | 1.0079840319361277 |
| NCFwR#60  | 3  |  Reuters-R8:3  | 1.0147318797878608 | 1.1419098143236073 | 1.0076067875950847 |        1.0         |
| NCFwR#60  | 3  |    WebKB:3     | 1.011256354393609  | 1.1765948457963664 | 1.0138332726610844 |        1.0         |
| NCFwR#60  | 6  | 20Newsgroup:6  | 1.0620771985674493 | 1.104718543046358  |        1.0         | 1.0249615975422428 |
| NCFwR#60  | 6  |   BBCSport:6   | 1.3939393939393938 | 1.0222222222222224 |        1.0         | 1.0298507462686566 |
| NCFwR#60  | 6  |  Reuters-R8:6  | 1.006798866855524  | 1.254943502824859  | 1.0289519397799656 |        1.0         |
| NCFwR#60  | 6  |    WebKB:6     |        1.0         | 1.061567877629063  | 1.0243542435424353 | 1.0146198830409354 |
| NCFwR#60  | 12 | 20Newsgroup:12 |        1.0         | 1.0356275303643725 | 1.064945878434638  | 1.0195296931048228 |
| NCFwR#60  | 12 |  BBCSport:12   | 1.3451676528599603 | 1.0317700453857794 |        1.0         | 1.0103703703703706 |
| NCFwR#60  | 12 | Reuters-R8:12  | 1.018353726362625  | 1.0379818594104306 | 1.0054914881933004 |        1.0         |
| NCFwR#60  | 12 |    WebKB:12    |  1.01137171286425  | 1.1001159644375724 | 1.0248469571480014 |        1.0         |
| NCFwR#60  | 24 | 20Newsgroup:24 |        1.0         | 1.0045627376425859 | 1.0426203630623523 | 1.0122605363984678 |
| NCFwR#60  | 24 |  BBCSport:24   | 1.3013182674199621 | 1.022189349112426  |        1.0         | 1.0176730486008836 |
| NCFwR#60  | 24 | Reuters-R8:24  | 1.032804811372335  | 1.0938042848870875 |        1.0         | 1.027747551686616  |
| NCFwR#60  | 24 |    WebKB:24    |        1.0         | 1.0855061349693254 | 1.0317055393586005 | 1.0264684554024657 |
| NCFwR#60  | 48 | 20Newsgroup:48 | 1.0085884988797613 | 1.0364543361473526 | 1.3023143683702996 |        1.0         |
| NCFwR#60  | 48 |  BBCSport:48   | 1.2765567765567767 | 1.0325925925925925 |        1.0         | 1.0175182481751823 |
| NCFwR#60  | 48 | Reuters-R8:48  | 1.0373376623376622 | 1.096681922196796  |        1.0         | 1.0126782884310617 |
| NCFwR#60  | 48 |    WebKB:48    |        1.0         | 1.0964777947932622 | 1.0373053241579138 | 1.047166361974406  |
